prompt,response
brick,Stack them up to create a unique bookshelf.
brick,Turn it into a rustic garden border.
brick,Use it as a makeshift dumbbell for home workouts.
brick,Create a DIY candle holder by placing candles on top.
brick,Glue a cushion on top to make an unconventional seat.
brick,Use it as a paperweight for windy days.
brick,Incorporate it into a Halloween costume as a prop.
brick,Build a small birdhouse by modifying its structure.
brick,Attach hooks to hang kitchen utensils for easy access.
brick,Turn it into a stylish bookend for an industrial-themed room.
